#group,name,redirector,dataset,nevts,xsec
ttbar,TTTo2L2Nu,/cmsxrootd-site3.fnal.gov:1094/,/TTTo2L2Nu_TuneCP5_13TeV-powheg-pythia8/RunIIAutumn18NanoAODv7-Nano02Apr2020_102X_upgrade2018_realistic_v21-v1/NANOAODSIM,64310000,87.3
ttbar,TTToSemiLeptonic,/pubxrootd.hep.wisc.edu:1094/,/TTToSemiLeptonic_TuneCP5_13TeV-powheg-pythia8/RunIIAutumn18NanoAODv7-Nano02Apr2020_102X_upgrade2018_realistic_v21-v1/NANOAODSIM,100790000,365.34
ttbar,TTToHadronic,/cmsxrootd-site3.fnal.gov:1094/,/TTToHadronic_TuneCP5_13TeV-powheg-pythia8/RunIIAutumn18NanoAODv7-Nano02Apr2020_102X_upgrade2018_realistic_v21-v1/NANOAODSIM,128640000,377.96
ttbarZ,ttZJets,/cmsxrootd-site3.fnal.gov:1094/,/ttZJets_TuneCP5_13TeV_madgraphMLM_pythia8/RunIIAutumn18NanoAODv7-Nano02Apr2020_102X_upgrade2018_realistic_v21_ext1-v1/NANOAODSIM,22646257,0.259
#ttbar,TTWJetsToLNu,//,/TTWJetsToLNu_TuneCP5_13TeV-amcatnloFXFX-madspin-pythia8/RunIIAutumn18NanoAODv7-Nano02Apr2020_102X_upgrade2018_realistic_v21_ext1-v1/NANOAODSIM,4911941,0.2125
dyjets,DYJetsToLL,/cmsxrootd-site3.fnal.gov:1094/,/DYJetsToLL_M-50_TuneCP5_13TeV-madgraphMLM-pythia8/RunIIAutumn18NanoAODv7-Nano02Apr2020_102X_upgrade2018_realistic_v21-v1/NANOAODSIM,100194597,6077.22
diboson,ZZTo2e2mu,/xrootd.rcac.purdue.edu:1094/,/GluGluToContinToZZTo2e2mu_13TeV_TuneCP5_MCFM701_pythia8/RunIIAutumn18NanoAODv7-Nano02Apr2020_102X_upgrade2018_realistic_v21-v1/NANOAODSIM,500000,0.0031942
diboson,ZZTo2e2tau,/cmsxrootd-site3.fnal.gov:1094/,/GluGluToContinToZZTo2e2tau_13TeV_TuneCP5_MCFM701_pythia8/RunIIAutumn18NanoAODv7-Nano02Apr2020_102X_upgrade2018_realistic_v21-v1/NANOAODSIM,500000,0.0031942
diboson,ZZTo2mu2tau,/xrootd.rcac.purdue.edu:1094/,/GluGluToContinToZZTo2mu2tau_13TeV_TuneCP5_MCFM701_pythia8/RunIIAutumn18NanoAODv7-Nano02Apr2020_102X_upgrade2018_realistic_v21-v1/NANOAODSIM,496000,0.0031942
diboson,ZZTo4e,/xrootd.rcac.purdue.edu:1094/,/GluGluToContinToZZTo4e_13TeV_TuneCP5_MCFM701_pythia8/RunIIAutumn18NanoAODv7-Nano02Apr2020_102X_upgrade2018_realistic_v21-v1/NANOAODSIM,914500,0.00158549
diboson,ZZto4mu,/cmsxrootd-site3.fnal.gov:1094/,/GluGluToContinToZZTo4mu_13TeV_TuneCP5_MCFM701_pythia8/RunIIAutumn18NanoAODv7-Nano02Apr2020_102X_upgrade2018_realistic_v21-v1/NANOAODSIM,948800,0.00158549
diboson,ZZto4tau,/redirector.t2.ucsd.edu:1094/,/GluGluToContinToZZTo4tau_13TeV_TuneCP5_MCFM701_pythia8/RunIIAutumn18NanoAODv7-Nano02Apr2020_102X_upgrade2018_realistic_v21-v1/NANOAODSIM,68700,0.00158549
diboson,ZZTo4L,/cmsxrootd-site3.fnal.gov:1094/,/ZZTo4L_13TeV_powheg_pythia8_TuneCP5/RunIIAutumn18NanoAODv7-Nano02Apr2020_102X_upgrade2018_realistic_v21-v1/NANOAODSIM,19089600,1.256
