#group,name,redirector,dataset,nevts,xsec
data,EGammaA,/cmsxrootd-site.fnal.gov/,/EGamma/Run2018A-02Apr2020-v1/NANOAOD,327843843,1
data,EGammaB,/cmsxrootd-site.fnal.gov/,/EGamma/Run2018B-02Apr2020-v1/NANOAOD,153822427,1
data,EGammaC,/cmsxrootd-site.fnal.gov/,/EGamma/Run2018C-02Apr2020-v1/NANOAOD,147827904,1
data,EGammaD,/cmsxrootd-site.fnal.gov/,/EGamma/Run2018D-02Apr2020-v1/NANOAOD,754798781,1
data,SingleMuonA,/cmsxrootd-site.fnal.gov/,/SingleMuon/Run2018A-02Apr2020-v1/NANOAOD,241608232,1
data,SingleMuonB,/cmsxrootd-site.fnal.gov/,/SingleMuon/Run2018B-02Apr2020-v1/NANOAOD,119918017,1
data,SingleMuonC,/cmsxrootd-site.fnal.gov/,/SingleMuon/Run2018C-02Apr2020-v1/NANOAOD,110032072,1
data,SingleMuonD,/cmsxrootd-site.fnal.gov/,/SingleMuon/Run2018D-02Apr2020-v1/NANOAOD,506468530,1
data,DoubleMuonA,/cmsxrootd-site.fnal.gov/,/DoubleMuon/Run2018A-02Apr2020-v1/NANOAOD,75499908,1
data,DoubleMuonB,/cmsxrootd-site.fnal.gov/,/DoubleMuon/Run2018B-02Apr2020-v1/NANOAOD,35057758,1
data,DoubleMuonC,/cmsxrootd-site.fnal.gov/,/DoubleMuon/Run2018C-02Apr2020-v1/NANOAOD,34565869,1
data,DoubleMuonD,/cmsxrootd-site.fnal.gov/,/DoubleMuon/Run2018D-02Apr2020-v1/NANOAOD,169225355,1
