#group,name,redirector,dataset,nevts,xsec
data,SingleElectron,/cmsxrootd-site.fnal.gov/,/SingleElectron/Run2016B-ver1_HIPM_UL2016_MiniAODv2_NanoAODv9-v2/NANOAOD,1422819,1
data,SingleElectron,/cmsxrootd-site.fnal.gov/,/SingleElectron/Run2016B-ver2_HIPM_UL2016_MiniAODv2_NanoAODv9-v2/NANOAOD,246440440,1
data,SingleElectron,/cmsxrootd-site.fnal.gov/,/SingleElectron/Run2016C-HIPM_UL2016_MiniAODv2_NanoAODv9-v2/NANOAOD,97259854,1
data,SingleElectron,/cmsxrootd-site.fnal.gov/,/SingleElectron/Run2016D-HIPM_UL2016_MiniAODv2_NanoAODv9-v2/NANOAOD,148167727,1
data,SingleElectron,/cmsxrootd-site.fnal.gov/,/SingleElectron/Run2016E-HIPM_UL2016_MiniAODv2_NanoAODv9-v2/NANOAOD,117269446,1
data,SingleElectron,/cmsxrootd-site.fnal.gov/,/SingleElectron/Run2016F-HIPM_UL2016_MiniAODv2_NanoAODv9-v2/NANOAOD,61735326,1
data,SingleMuon,/cmsxrootd-site.fnal.gov/,/SingleMuon/Run2016B-ver1_HIPM_UL2016_MiniAODv2_NanoAODv9-v2/NANOAOD,2789243,1
data,SingleMuon,/cmsxrootd-site.fnal.gov/,/SingleMuon/Run2016B-ver2_HIPM_UL2016_MiniAODv2_NanoAODv9-v2/NANOAOD,158145722,1
data,SingleMuon,/cmsxrootd-site.fnal.gov/,/SingleMuon/Run2016C-HIPM_UL2016_MiniAODv2_NanoAODv9-v2/NANOAOD,67441308,1
data,SingleMuon,/cmsxrootd-site.fnal.gov/,/SingleMuon/Run2016D-HIPM_UL2016_MiniAODv2_NanoAODv9-v2/NANOAOD,98017996,1
data,SingleMuon,/cmsxrootd-site.fnal.gov/,/SingleMuon/Run2016E-HIPM_UL2016_MiniAODv2_NanoAODv9-v2/NANOAOD,90984718,1
data,SingleMuon,/cmsxrootd-site.fnal.gov/,/SingleMuon/Run2016F-HIPM_UL2016_MiniAODv2_NanoAODv9-v2/NANOAOD,57465359,1
